taxa_name,pectoral_fin,pelvic_fin,pectoral_inferred,pelvic_inferred,pectoral_propagated,pelvic_propagated,paired_fin
Sternopygus_obtusirostris,1,0,1,0,1,1,2
Glyptothorax_quadriocellatus,1,?,2,?,1,0,3
Glyptothorax_longjiangensis,1,?,2,?,1,0,3
Suezichthys_bifurcatus,1,?,1,?,1,0,3
Ecsenius_melarchus,1,?,1,?,1,0,3
Acanthaluteres_spilomelanurus,1,0,1,0,1,1,2
Chilodus_punctatus,1,1,2,1,0,0,3
Serrivomer_bertini,1,0,1,0,1,1,2
Lepidotrigla_pleuracanthica,1,?,1,?,1,0,3
Heptapterus_sympterygium,1,1,2,2,0,0,3
Halieutaea_indica,1,?,2,?,1,0,3
Megalocentor_echthrus,1,?,1,?,1,0,3
Linophryne_bicornis,1,0,1,0,1,1,2
